algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_first,few_distinct,1000,0,165909822774,12751,4186,0.038770,14
QuickSort,det_first,few_distinct,1000,1,165909822775,12374,4220,0.028957,15
QuickSort,det_first,few_distinct,1000,2,165909822776,12408,4181,0.035399,15
QuickSort,det_first,few_distinct,1000,3,165909822777,12264,4212,0.083599,14
QuickSort,det_first,few_distinct,1000,4,165909822778,12108,4208,0.038287,15
QuickSort,det_first,few_distinct,1000,5,165909822779,12311,4211,0.027436,14
QuickSort,det_first,few_distinct,1000,6,165909822780,11953,4230,0.028775,12
QuickSort,det_first,few_distinct,1000,7,165909822781,12430,4217,0.028141,14
QuickSort,det_first,few_distinct,1000,8,165909822782,11928,4261,0.028463,12
QuickSort,det_first,few_distinct,1000,9,165909822783,12124,4190,0.028171,14
QuickSort,det_first,few_distinct,1000,10,165909822784,12487,4172,0.027668,15
QuickSort,det_first,few_distinct,1000,11,165909822785,12502,4190,0.028000,14
QuickSort,det_first,few_distinct,1000,12,165909822786,12311,4218,0.038207,15
QuickSort,det_first,few_distinct,1000,13,165909822787,12166,4205,0.035308,14
QuickSort,det_first,few_distinct,1000,14,165909822788,12655,4167,0.027115,15
QuickSort,det_first,few_distinct,1000,15,165909822789,12123,4220,0.028413,14
QuickSort,det_first,few_distinct,1000,16,165909822790,12312,4224,0.027548,14
QuickSort,det_first,few_distinct,1000,17,165909822791,12483,4189,0.027749,14
QuickSort,det_first,few_distinct,1000,18,165909822792,12933,4196,0.027850,16
QuickSort,det_first,few_distinct,1000,19,165909822793,12168,4247,0.028050,13
QuickSort,det_first,few_distinct,1000,20,165909822794,12450,4231,0.039092,14
QuickSort,det_first,few_distinct,1000,21,165909822795,12082,4231,0.039474,13
QuickSort,det_first,few_distinct,1000,22,165909822796,12171,4208,0.051562,14
QuickSort,det_first,few_distinct,1000,23,165909822797,12668,4134,0.027387,16
QuickSort,det_first,few_distinct,1000,24,165909822798,12133,4221,0.028423,13
QuickSort,det_first,few_distinct,1000,25,165909822799,12673,4200,0.035791,15
QuickSort,det_first,few_distinct,1000,26,165909822800,12074,4219,0.036063,13
QuickSort,det_first,few_distinct,1000,27,165909822801,12367,4176,0.028232,13
QuickSort,det_first,few_distinct,1000,28,165909822802,12084,4196,0.031603,14
QuickSort,det_first,few_distinct,1000,29,165909822803,12240,4216,0.033869,15
QuickSort,det_first,few_distinct,1000,30,165909822804,12204,4226,0.035851,13
QuickSort,det_first,few_distinct,1000,31,165909822805,12141,4232,0.036465,13
QuickSort,det_first,few_distinct,1000,32,165909822806,12461,4225,0.038367,14
QuickSort,det_first,few_distinct,1000,33,165909822807,12152,4237,0.027306,13
QuickSort,det_first,few_distinct,1000,34,165909822808,12716,4191,0.034895,15
QuickSort,det_first,few_distinct,1000,35,165909822809,12272,4225,0.027638,16
QuickSort,det_first,few_distinct,1000,36,165909822810,12322,4180,0.027538,14
QuickSort,det_first,few_distinct,1000,37,165909822811,12734,4189,0.027246,15
QuickSort,det_first,few_distinct,1000,38,165909822812,12358,4199,0.026823,14
QuickSort,det_first,few_distinct,1000,39,165909822813,12857,4146,0.026270,16
QuickSort,det_first,few_distinct,1000,40,165909822814,12162,4235,0.028121,13
QuickSort,det_first,few_distinct,1000,41,165909822815,12096,4229,0.035388,13
QuickSort,det_first,few_distinct,1000,42,165909822816,12653,4144,0.031453,15
QuickSort,det_first,few_distinct,1000,43,165909822817,12494,4180,0.037511,14
QuickSort,det_first,few_distinct,1000,44,165909822818,12579,4158,0.032871,14
QuickSort,det_first,few_distinct,1000,45,165909822819,12332,4181,0.033445,14
QuickSort,det_first,few_distinct,1000,46,165909822820,12122,4215,0.035982,12
QuickSort,det_first,few_distinct,1000,47,165909822821,12526,4186,0.035629,15
QuickSort,det_first,few_distinct,1000,48,165909822822,12710,4162,0.033315,15
QuickSort,det_first,few_distinct,1000,49,165909822823,12509,4164,0.033838,15
QuickSort,det_first,few_distinct,1000,50,165909822824,12365,4207,0.036163,15
QuickSort,det_first,few_distinct,1000,51,165909822825,12130,4202,0.036163,14
QuickSort,det_first,few_distinct,1000,52,165909822826,13508,4125,0.034281,18
QuickSort,det_first,few_distinct,1000,53,165909822827,12302,4194,0.032469,14
QuickSort,det_first,few_distinct,1000,54,165909822828,12228,4193,0.032882,15
QuickSort,det_first,few_distinct,1000,55,165909822829,11993,4216,0.034653,13
QuickSort,det_first,few_distinct,1000,56,165909822830,13188,4182,0.033798,16
QuickSort,det_first,few_distinct,1000,57,165909822831,12035,4245,0.034432,13
QuickSort,det_first,few_distinct,1000,58,165909822832,12400,4237,0.035177,15
